unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,descriptor_2,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,council_district,police_precinct,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location
60035889,2024-01-15T12:00:00.000,,DSNY,Department of Sanitation,Derelict Vehicles,Derelict Vehicles,,Street,11368.0,127-45 NORTHERN BOULEVARD,NORTHERN BOULEVARD,NORTHERN BOULEVARD,127 PLACE,,,ADDRESS,CORONA,,,Open,,If the abandoned vehicle meets the criteria to be classified as a derelict (i.e. junk) the Department of Sanitation (DSNY) will investigate and tag the vehicle within three business days.,2024-01-15T12:00:00.000,81 QUEENS,21.0,Precinct 110,,QUEENS,1027873.0,217040.0,PHONE,Unspecified,QUEENS,,,,,,,,40.762293488156,-73.84252851915623,POINT (-73.842528519156 40.762293488156)
60030006,2024-01-15T12:00:08.000,2024-01-16T15:14:46.000,DSNY,Department of Sanitation,Dirty Condition,Trash,Littering,Sidewalk,11225.0,611 FLATBUSH AVENUE,FLATBUSH AVENUE,CHESTER COURT,FENIMORE STREET,CHESTER COURT,FENIMORE STREET,ADDRESS,BROOKLYN,FLATBUSH AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,2024-01-16T15:14:49.000,09 BROOKLYN,40.0,Precinct 71,3050370006.0,BROOKLYN,995219.0,179137.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.658359591926306,-73.96046551956852,POINT (-73.960465519569 40.658359591926)
60035530,2024-01-15T12:00:08.000,2024-01-17T14:08:37.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,11355.0,140-11 ASH AVENUE,ASH AVENUE,,,,,ADDRESS,FLUSHING,,,Closed,,The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.,2024-01-17T00:00:00.000,07 QUEENS,20.0,Precinct 109,4051820074.0,QUEENS,1033114.0,214432.0,PHONE,Unspecified,QUEENS,,,,,,,,40.75510779637202,-73.82362841987063,POINT (-73.823628419871 40.755107796372)
60032977,2024-01-15T12:00:09.000,2024-01-16T13:12:26.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,10025.0,988 COLUMBUS AVENUE,COLUMBUS AVENUE,,,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2024-01-16T00:00:00.000,07 MANHATTAN,7.0,Precinct 24,1018630029.0,MANHATTAN,994875.0,231091.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80096098916819,-73.96162332846248,POINT (-73.961623328462 40.800960989168)
60030717,2024-01-15T12:00:23.000,2024-01-16T14:49:15.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT,RESIDENTIAL BUILDING,10471.0,5400 FIELDSTON ROAD,FIELDSTON ROAD,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development contacted a tenant in the building and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",2024-01-16T00:00:00.000,08 BRONX,11.0,Precinct 50,2058451799.0,BRONX,1011450.0,268032.0,ONLINE,Unspecified,BRONX,,,,,,,,40.90231752133392,-73.9016058820673,POINT (-73.901605882067 40.902317521334)
60029238,2024-01-15T12:00:28.000,2024-01-15T18:54:49.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10463.0,3334 FORT INDEPENDENCE STREET,FORT INDEPENDENCE STREET,HEATH AVENUE,BAILEY PLACE,HEATH AVENUE,BAILEY PLACE,ADDRESS,BRONX,FORT INDEPENDENCE STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2024-01-15T18:54:53.000,08 BRONX,11.0,Precinct 50,2032580044.0,BRONX,1012022.0,259488.0,PHONE,Unspecified,BRONX,,,,,,,,40.87886517427151,-73.89957214784113,POINT (-73.899572147841 40.878865174272)
60033447,2024-01-15T12:00:31.000,2024-01-17T09:58:11.000,DOT,Department of Transportation,Street Condition,Plate Condition - Anti-Skid,,Street,11435.0,138-12 101 AVENUE,101 AVENUE,REMINGTON STREET,SANDERS PLACE,REMINGTON STREET,SANDERS PLACE,ADDRESS,JAMAICA,101 AVENUE,,Closed,,The condition was inspected and determined not to be under Department of Transportation's jurisdiction. The Department of Transportation notified the appropriate responsible party of the complaint.,2024-01-17T09:58:14.000,12 QUEENS,27.0,Precinct 103,4100180005.0,QUEENS,1036814.0,192308.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.69436170779193,-73.81044633965018,POINT (-73.81044633965 40.694361707792)
60035517,2024-01-15T12:00:36.000,2024-01-17T09:48:36.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,11208.0,584 LOGAN STREET,LOGAN STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd,2024-01-17T00:00:00.000,05 BROOKLYN,42.0,Precinct 75,3042620037.0,BROOKLYN,1018809.0,183990.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.671619340768274,-73.87541761794037,POINT (-73.87541761794 40.671619340768)
60031970,2024-01-15T12:00:36.000,2024-01-15T22:14:45.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT AND NO HOT WATER,RESIDENTIAL BUILDING,11215.0,270 15 STREET,15 STREET,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection.  More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,2024-01-15T00:00:00.000,07 BROOKLYN,39.0,Precinct 72,3010480032.0,BROOKLYN,987676.0,181464.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.664752824463754,-73.9876508243539,POINT (-73.987650824354 40.664752824464)
60027317,2024-01-15T12:00:39.000,2024-01-22T14:19:20.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,MISSING OR INADEQUATE CANS/LID,RESIDENTIAL BUILDING,11208.0,360 ARLINGTON AVENUE,ARLINGTON AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2024-01-22T00:00:00.000,05 BROOKLYN,37.0,Precinct 75,3039440010.0,BROOKLYN,1017171.0,187524.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.681325607194296,-73.88130520473415,POINT (-73.881305204734 40.681325607194)
60029536,2024-01-15T12:00:39.000,2024-01-16T12:07:08.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT,RESIDENTIAL BUILDING,11208.0,360 ARLINGTON AVENUE,ARLINGTON AVENUE,,,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2024-01-16T00:00:00.000,05 BROOKLYN,37.0,Precinct 75,3039440010.0,BROOKLYN,1017171.0,187524.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.681325607194296,-73.88130520473415,POINT (-73.881305204734 40.681325607194)
60034254,2024-01-15T12:00:50.000,2024-01-17T14:49:21.000,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,NO HEAT,RESIDENTIAL BUILDING,10453.0,1694 WALTON AVENUE,WALTON AVENUE,,,,,ADDRESS,BRONX,,,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",2024-01-17T00:00:00.000,05 BRONX,14.0,Precinct 46,2028220012.0,BRONX,1008727.0,247410.0,ONLINE,Unspecified,BRONX,,,,,,,,40.84572448023011,-73.91153147970789,POINT (-73.911531479708 40.84572448023)
